;SMCA;QDMDC;PCPDMC (Low);PCPDMC (Medium);PCPDMC (High);MCPDMC (Low,WAVG);MCPDMC (Medium,WAVG);MCPDMC (High,WAVG);MCPDMC (Low,SWITCH);MCPDMC (Medium,SWITCH);MCPDMC (High,SWITCH);FCN-L-SMCA;FCN-M-SMCA;FCN-S-SMCA;LSTM-L-SMCA;LSTM-M-SMCA;LSTM-S-SMCA;GRU-L-SMCA;GRU-M-SMCA;GRU-S-SMCA;FCN-L-QDMDC;FCN-M-QDMDC;FCN-S-QDMDC;LSTM-L-QDMDC;LSTM-M-QDMDC;LSTM-S-QDMDC;GRU-L-QDMDC;GRU-M-QDMDC;GRU-S-QDMDC;FCN-L-PCPDMC (Low);FCN-M-PCPDMC (Low);FCN-S-PCPDMC (Low);FCN-L-PCPDMC (Medium);FCN-M-PCPDMC (Medium);FCN-S-PCPDMC (Medium);FCN-L-PCPDMC (High);FCN-M-PCPDMC (High);FCN-S-PCPDMC (High);LSTM-L-PCPDMC (Low);LSTM-M-PCPDMC (Low);LSTM-S-PCPDMC (Low);LSTM-L-PCPDMC (Medium);LSTM-M-PCPDMC (Medium);LSTM-S-PCPDMC (Medium);LSTM-L-PCPDMC (High);LSTM-M-PCPDMC (High);LSTM-S-PCPDMC (High);GRU-L-PCPDMC (Low);GRU-M-PCPDMC (Low);GRU-S-PCPDMC (Low);GRU-L-PCPDMC (Medium);GRU-M-PCPDMC (Medium);GRU-S-PCPDMC (Medium);GRU-L-PCPDMC (High);GRU-M-PCPDMC (High);GRU-S-PCPDMC (High)
LSTM-L-PCPDMC (Medium);3.756649116795436e-26;4.5666850237085735e-14;1.441903119397107e-32;8.324027184743014e-35;1.5088392369799432e-20;3.8108435972701126e-19;1.210838796003168e-16;0.0029021656199001173;1.2733276678310974e-16;6.259013410795625e-14;0.028229645334882966;4.261399590228245e-09;8.002690474277407e-07;3.4151606380062614e-13;0.01565770056942554;0.8312112177724322;1.4206333727042637e-09;0.15977742803665604;0.03419402222827684;3.2739335898085576e-07;0.6093258645161437;0.6694136863045321;0.06421838881955114;3.1166584799140036e-06;9.022997418643447e-08;1.681083386991259e-29;7.953782645267595e-08;3.603637667857388e-06;1.6107360265500605e-12;0.002035214196698329;0.0009505674585428541;0.019297125601252033;0.011101660548320527;0.013925714194174285;0.12644884041365465;0.21574514596065317;0.3090856377288308;0.002009907785119765;0.1816732614296631;0.049363851076026824;4.218271525979547e-05;;1.607501489985657e-15;2.7169024229205787e-14;3.4042916739862316e-05;1.0236526758175968e-07;1.2127102881029506e-21;0.10867972381521387;0.0018779981303289064;0.00017707330520362483;0.001070676173189563;0.005186488908263564;2.8543862759314678e-06;6.682509211285996e-06;1.0858279491619211e-07;1.9899961297508613e-16
LSTM-M-PCPDMC (Medium);2.2408624753710393e-27;5.601362110792014e-23;6.381545636342017e-29;1.8079452439956159e-29;2.2078576628194037e-25;4.85278768053182e-25;5.945513551174696e-24;2.1411637711383718e-16;4.353677369847665e-24;3.9183494996325993e-23;3.20688793443147e-15;8.597432658552081e-21;1.5164122181038008e-19;2.2419049488681737e-22;4.244757383579282e-11;3.480288025072671e-13;3.401769201608321e-07;3.4567038102872492e-12;2.1602385583078375e-11;2.023365342846717e-08;1.0440905813954087e-12;7.309376445726466e-13;2.4276873541535602e-11;4.697652327702845e-09;1.6046240298467376e-08;1.4228767901931094e-14;3.2999593639742145e-08;3.4891583408170377e-09;7.454612086216906e-07;2.175294822574165e-18;7.989903602764724e-19;2.0321629391298423e-17;2.1035173508791944e-18;2.401645779932569e-18;1.2745444719623818e-16;5.775068257479899e-13;3.239683343646151e-13;1.766301529109708e-10;2.382122588166782e-14;1.3349312769270625e-13;6.856927864334654e-12;1.607501489985657e-15;;1.0483819399618788e-09;3.340561588841205e-10;4.166299097020669e-09;7.824096407677102e-05;2.5369773735347188e-14;4.910447463231549e-13;4.09969450500109e-12;3.9786326204812965e-14;5.866628487079836e-14;6.342789528461574e-12;4.650488343089974e-10;3.966151173884963e-09;4.099620068253312e-06
LSTM-S-PCPDMC (Medium);1.641953870486914e-43;2.1129891443022455e-29;8.380064249582569e-55;1.4046538737015104e-57;1.3848082901946309e-38;2.4881387623683274e-35;5.841125804081321e-34;2.933973210496617e-13;2.7192894180437525e-32;1.0251619488439517e-29;6.426196536652445e-10;2.4558897704546143e-26;1.175817090825935e-21;6.175069999479027e-33;0.012835833235396303;2.230162815014718e-06;0.1417171526025932;0.00040272542815100607;0.0025936081679007903;0.8848904900796073;0.00018922981984779798;0.0001024039998797757;0.006723011745393473;0.719325371172594;0.8463566539578056;1.1029779983568336e-23;0.6917210340860738;0.565093403864085;0.040891362054249265;3.0947920941137085e-22;1.3223695433414406e-26;6.239025189499796e-24;7.45255244394591e-21;4.204214649770282e-23;3.3370892457908245e-26;0.000321979703932314;3.353226818747432e-05;0.07767875861962761;2.2577305230878913e-09;2.461326780229476e-13;3.728468435703969e-07;2.7169024229205787e-14;1.0483819399618788e-09;;0.26088750279459927;0.9769715729546393;1.8563684437379225e-08;3.688638381520866e-10;3.738102650610867e-09;5.716265682713384e-06;3.851317361826319e-11;1.903113228130178e-17;1.391397736711219e-07;0.38531948935504456;0.9757520935255215;0.00022093786661261757
LSTM-L-PCPDMC (High);1.6310020197545653e-40;3.3028853457871906e-27;1.624655990154123e-44;1.1557167546398979e-44;2.391343291909612e-46;3.8136099509247647e-31;9.48020274809781e-27;7.479372070444997e-10;9.30114777653191e-28;1.314458399895387e-23;2.5586435565497536e-07;3.024835222360585e-17;1.1704000194631488e-14;2.9957202213060487e-22;0.23327942462119128;0.002037480237695363;0.02286811660321906;0.03358378058866067;0.10981317978074046;0.26948512904591015;0.010706771243220505;0.006920789753589633;0.12346188241180817;0.5402255715643004;0.2573956449553336;7.468269488586604e-25;0.2027621039892067;0.6434464391723229;0.006875162899817183;4.432249443167109e-09;7.462026869177323e-10;3.259863818653424e-08;3.327439951410393e-08;5.470354007351631e-08;1.6832982053687888e-06;0.0001624238543621267;6.148389618612975e-05;0.4645091575288707;0.000578912179592171;0.00438844012882763;0.198650851994482;3.4042916739862316e-05;3.340561588841205e-10;0.26088750279459927;;0.0015065678707288602;7.099575319562086e-20;0.0007144892151699754;0.03307025291549412;0.2023256991398183;0.00637395418674349;0.003013619991553565;0.263886923779744;0.3866077219862578;0.006883764073286379;4.534594020813664e-12
LSTM-M-PCPDMC (High);1.2591263120600204e-49;3.551827859461588e-34;4.503556356686454e-56;1.7375033686479956e-56;1.345010247263576e-61;1.8132195817429158e-39;3.5259206776614827e-34;1.1538987512898164e-13;2.0236996587600766e-35;2.21626693138225e-30;4.0190346222014763e-10;1.8365096382710858e-22;2.1314074423460898e-19;1.186777899755971e-28;0.032266535324502375;3.704111015615798e-05;0.17321669097038558;0.0018493083681110991;0.009347110198703023;0.8803354097742557;0.0005123281364606633;0.0002576221063431299;0.011756318326588137;0.7636209375241703;0.8448624278936084;1.0028245029645477e-23;0.7056929163454655;0.617697905735533;0.06857483606286857;8.067888494163945e-13;6.854093221312687e-14;4.7067024173081124e-12;2.1958107614184894e-11;2.2725856339987492e-11;8.780867589135067e-10;9.299917408059997e-09;3.3581406030287024e-11;0.010890651124165256;3.6758834294353577e-06;2.5408835948547985e-05;0.009343709224644314;1.0236526758175968e-07;4.166299097020669e-09;0.9769715729546393;0.0015065678707288602;;3.0968973658467294e-21;3.5736777645553643e-06;0.0004936559762716991;0.011605999275119818;9.663046923258513e-05;1.5574119397070535e-05;0.015222196026731725;0.02651042786431665;0.9971171406038339;3.3417577084582037e-12
LSTM-S-PCPDMC (High);4.891965481926216e-69;1.0312919777846872e-52;1.4420352501458705e-76;2.879514778119382e-77;8.93044243250392e-83;2.058620665528142e-56;3.2550389411292995e-54;3.1149865400428263e-31;7.414925771856362e-52;1.5428417599738394e-48;1.6601305976000313e-23;1.6734232969115433e-39;2.676580642896897e-35;1.6396658728409165e-47;1.1892830014272695e-09;6.986093233940734e-16;0.002017643832574049;2.6544904608668755e-12;1.8640764975237565e-11;1.3780495931877933e-05;1.3127019019780683e-12;1.4096689438577936e-13;3.2072185278464964e-11;1.4909059037503595e-05;7.124822956470712e-05;2.515766082519176e-18;0.0002585245705246532;3.4695510985927774e-06;0.012577693771143674;2.1950364759276182e-31;3.0126974366628313e-35;5.450569942140317e-34;2.073738768710684e-28;1.5542197031821462e-30;1.211642511938492e-34;2.0071858677479878e-30;1.5747049139254365e-47;3.94138106487516e-42;7.445532523495362e-19;1.168016212905377e-20;1.3278003210704028e-16;1.2127102881029506e-21;7.824096407677102e-05;1.8563684437379225e-08;7.099575319562086e-20;3.0968973658467294e-21;;2.642688901680669e-19;1.892747175268873e-18;9.902622380949301e-16;4.047983518939259e-16;1.1087719694254e-20;1.870275924543037e-16;3.238778957669845e-20;2.6979816285765494e-24;1.011019396132998e-05
GRU-L-PCPDMC (Low);1.3336410725123687e-30;6.666067320923807e-18;8.70948902763268e-39;2.281577193535348e-39;3.2173926175434757e-24;2.1327882165659216e-23;3.3687962589344266e-20;0.00016327982749712094;2.934071618149323e-20;4.144548396065414e-17;0.003722022154219198;4.756746870523608e-13;8.466967863884872e-10;6.936337781507502e-18;0.07626170883624683;0.5166219051153088;1.2952275097264933e-08;0.5258544833399597;0.1641251722439877;2.890647355974208e-06;0.8271959769131314;0.753799156381378;0.24067053784051784;2.762132686323408e-05;1.084215615319566e-06;6.167106385893527e-29;8.970966372675426e-07;5.982165707689118e-05;2.1823648652920532e-11;1.2657124094728259e-06;8.994895104476775e-07;0.00015064215438241667;0.0008506525528425494;0.000916192031904158;0.011013047568348828;0.6444078847681465;0.8187584379578066;0.016211174921074264;0.7285939389475353;0.38838049071436076;0.00017902164715284338;0.10867972381521387;2.5369773735347188e-14;3.688638381520866e-10;0.0007144892151699754;3.5736777645553643e-06;2.642688901680669e-19;;0.011398627319657507;0.0016607324443615843;0.2711426919046674;0.3874725316287283;0.0013618035570268714;0.00022096283303186726;5.552402294265783e-06;3.07606920572433e-14
GRU-M-PCPDMC (Low);1.9899597248926828e-33;1.3482815509353093e-20;3.1281089952591485e-46;1.554475244595123e-46;8.565641793101112e-29;7.706500479274732e-28;1.2067985605622484e-24;2.307840129365043e-06;3.159278484607534e-24;6.77911737066769e-21;0.00013390559931637046;1.1673318589689052e-16;8.118975818448417e-13;1.8931575148142867e-21;0.5636564120087485;0.07622470407955809;4.600004795651428e-06;0.5893176084800389;0.8743011868699725;0.000492988967220916;0.23860773968445576;0.1992352516848505;0.907843683599606;0.00617619579601837;0.0005282289891243215;2.4242346564473995e-27;0.00042064326615572024;0.008452602250877411;1.93788835332213e-07;2.322675451167864e-13;2.6344582314794622e-15;1.465345922880729e-10;3.0894963774994257e-07;1.0887702818533161e-07;4.15474086601218e-06;0.5293379093105219;0.3494817402337177;0.13564241511033756;0.009725683689859878;0.013783776650542118;0.015309167395789046;0.0018779981303289064;4.910447463231549e-13;3.738102650610867e-09;0.03307025291549412;0.0004936559762716991;1.892747175268873e-18;0.011398627319657507;;0.008370640195869205;0.3386507034783366;0.12694114133290693;0.03582472180614077;0.009675526421121556;0.00041532246387923627;2.6865073244251817e-13
GRU-S-PCPDMC (Low);4.967425310589006e-35;2.8086876241925907e-22;1.8505282551042854e-50;3.1084385886524394e-50;7.655841600093922e-32;1.5468057964608731e-30;2.637190829423181e-27;6.629172991389818e-08;1.3180999874378058e-26;4.129314789211693e-23;8.933031396681188e-06;9.738879093602225e-19;1.685375912395697e-14;3.343034823162134e-23;0.8544222856727388;0.014029393849618986;0.0001944957872301799;0.20117854206985394;0.5435706089439771;0.009667395472878438;0.0755284588261789;0.05876315814906517;0.5681757953670429;0.059653892658034974;0.010050532304811434;2.448316440346396e-26;0.008162899634930214;0.07712677951907922;2.056118753312556e-05;3.052850668948483e-16;8.048654622063112e-21;8.541682755521893e-15;3.4581600348541735e-10;4.248599286645484e-11;1.1765507598612319e-09;0.16836335896405774;0.07609281359177707;0.4793351926324101;0.0011530290409761345;0.0003009586401456655;0.9414623343992903;0.00017707330520362483;4.09969450500109e-12;5.716265682713384e-06;0.2023256991398183;0.011605999275119818;9.902622380949301e-16;0.0016607324443615843;0.008370640195869205;;0.04806605109811772;0.003498669505130674;0.6321334344068874;0.09700469908275838;0.00947296427455109;3.025647207987235e-11
GRU-L-PCPDMC (Medium);8.15102842473205e-29;1.008503014106329e-16;1.8097532583730113e-35;6.6721412437326695e-37;1.547403791871274e-23;4.1478334624229253e-22;1.5542435099613887e-19;5.439393124947467e-05;1.1085532015747418e-19;8.076907175288914e-17;0.0012848227842189224;8.419233154840002e-13;7.777124622089135e-10;4.3180807653555506e-17;0.26765578889282604;0.2551624554695106;1.805465188914977e-06;0.9787393719043476;0.47549774082241814;0.00016053687149971744;0.5005925238393876;0.4428360077361979;0.5539957711896226;0.0012971169348300884;8.336537514977519e-05;4.4899614617318145e-28;6.616789994843945e-05;0.0018527319611062012;2.506287528393836e-08;2.757448346880979e-06;7.81201563475137e-07;7.364475978965369e-05;1.5332235512748682e-05;2.397504994638225e-05;0.0017029139882382034;0.9497048585731448;0.7650238587444947;0.0739401891211252;0.22318886044433087;0.7522123197291746;0.02482994204222681;0.001070676173189563;3.9786326204812965e-14;3.851317361826319e-11;0.00637395418674349;9.663046923258513e-05;4.047983518939259e-16;0.2711426919046674;0.3386507034783366;0.04806605109811772;;0.7111339945726365;0.009081565579812009;0.0022580637792565484;0.00013741104121794157;1.0648478875962389e-11
