;SMCA;QDMDC;PCPDMC (Low);PCPDMC (Medium);PCPDMC (High);MCPDMC (Low,WAVG);MCPDMC (Medium,WAVG);MCPDMC (High,WAVG);MCPDMC (Low,SWITCH);MCPDMC (Medium,SWITCH);MCPDMC (High,SWITCH);FCN-L-SMCA;FCN-M-SMCA;FCN-S-SMCA;LSTM-L-SMCA;LSTM-M-SMCA;LSTM-S-SMCA;GRU-L-SMCA;GRU-M-SMCA;GRU-S-SMCA;FCN-L-QDMDC;FCN-M-QDMDC;FCN-S-QDMDC;LSTM-L-QDMDC;LSTM-M-QDMDC;LSTM-S-QDMDC;GRU-L-QDMDC;GRU-M-QDMDC;GRU-S-QDMDC;FCN-L-PCPDMC (Low);FCN-M-PCPDMC (Low);FCN-S-PCPDMC (Low);FCN-L-PCPDMC (Medium);FCN-M-PCPDMC (Medium);FCN-S-PCPDMC (Medium);FCN-L-PCPDMC (High);FCN-M-PCPDMC (High);FCN-S-PCPDMC (High);LSTM-L-PCPDMC (Low);LSTM-M-PCPDMC (Low);LSTM-S-PCPDMC (Low);LSTM-L-PCPDMC (Medium);LSTM-M-PCPDMC (Medium);LSTM-S-PCPDMC (Medium);LSTM-L-PCPDMC (High);LSTM-M-PCPDMC (High);LSTM-S-PCPDMC (High);GRU-L-PCPDMC (Low);GRU-M-PCPDMC (Low);GRU-S-PCPDMC (Low);GRU-L-PCPDMC (Medium);GRU-M-PCPDMC (Medium);GRU-S-PCPDMC (Medium);GRU-L-PCPDMC (High);GRU-M-PCPDMC (High);GRU-S-PCPDMC (High)
SMCA;;dm_return(DM=-0.41970954690453877, p_value=0.6746991227011949);dm_return(DM=-5.00127355325935, p_value=5.710996476598569e-07);dm_return(DM=0.5943578120896222, p_value=0.5522750153452196);dm_return(DM=3.717283393389926, p_value=0.0002015557901809059);dm_return(DM=-5.084776203437343, p_value=3.6914232885871534e-07);dm_return(DM=0.8569593653213753, p_value=0.39147069632348597);dm_return(DM=7.9558137537263685, p_value=1.809838766436831e-15);dm_return(DM=-3.906507551448284, p_value=9.37402286413028e-05);dm_return(DM=0.8050766402536285, p_value=0.4207785813136604);dm_return(DM=7.056827587929641, p_value=1.7214895061267932e-12);dm_return(DM=10.01934697670304, p_value=1.3069383243090408e-23);dm_return(DM=8.588635553955987, p_value=9.00377478192413e-18);dm_return(DM=8.725300693257228, p_value=2.7199476557523605e-18);dm_return(DM=13.19887380969256, p_value=1.0092525131581e-39);dm_return(DM=11.653254684262892, p_value=2.3836920880125653e-31);dm_return(DM=14.035703912554743, p_value=1.1058111227400088e-44);dm_return(DM=12.194157158468899, p_value=3.6588359954791556e-34);dm_return(DM=14.175428883929758, p_value=1.5355249765943683e-45);dm_return(DM=13.345982385194066, p_value=1.4247256490066388e-40);dm_return(DM=13.51319186641302, p_value=1.4997910950415272e-41);dm_return(DM=12.388533482688649, p_value=3.323080630005413e-35);dm_return(DM=13.445523778214818, p_value=3.742301501063794e-41);dm_return(DM=15.140580987512918, p_value=1.0850953975755736e-51);dm_return(DM=14.263102604970747, p_value=4.405346531658643e-46);dm_return(DM=16.800271874378556, p_value=3.367578208614625e-63);dm_return(DM=16.125292036938365, p_value=2.2363577027845676e-58);dm_return(DM=16.475471912601435, p_value=7.448210428555772e-61);dm_return(DM=21.369826114924614, p_value=5.974410635363912e-101);dm_return(DM=11.953588115931876, p_value=6.765751042181123e-33);dm_return(DM=12.290961559768203, p_value=1.113067702505393e-34);dm_return(DM=14.531872947787773, p_value=9.143107315634862e-48);dm_return(DM=12.846480599467432, p_value=1.0071660525190777e-37);dm_return(DM=14.437589537371329, p_value=3.588905711567159e-47);dm_return(DM=15.456897373984901, p_value=8.569313814723143e-54);dm_return(DM=13.892645263786026, p_value=8.182864055376128e-44);dm_return(DM=14.799276131198592, p_value=1.8034279476450566e-49);dm_return(DM=15.461701500006887, p_value=7.955798364827797e-54);dm_return(DM=13.571822964607117, p_value=6.766606693811444e-42);dm_return(DM=18.451632204367794, p_value=8.130200803657677e-76);dm_return(DM=35.88979284750861, p_value=3.551434756048609e-279);dm_return(DM=13.842700761242698, p_value=1.6379674093918769e-43);dm_return(DM=38.197577010587906, p_value=0.0);dm_return(DM=27.37981161083702, p_value=4.675241454052216e-164);dm_return(DM=15.2072478642724, p_value=3.943647015671209e-52);dm_return(DM=37.39314830853022, p_value=1.3285511289885592e-302);dm_return(DM=20.685670186424872, p_value=9.847448293727082e-95);dm_return(DM=14.191078105649664, p_value=1.2294332709598392e-45);dm_return(DM=15.692811422687253, p_value=2.172724737626551e-55);dm_return(DM=17.289282809626247, p_value=8.169953005263104e-67);dm_return(DM=14.941102163820254, p_value=2.1846709194445106e-50);dm_return(DM=16.842190467613722, p_value=1.6650449041734263e-63);dm_return(DM=22.433112162807063, p_value=5.2538852008159235e-111);dm_return(DM=17.09499992494693, p_value=2.29459175153295e-65);dm_return(DM=18.32601591579253, p_value=8.141724355186298e-75);dm_return(DM=22.595432912781767, p_value=1.3908372954252107e-112)
QDMDC;dm_return(DM=-0.41970954690453877, p_value=0.6746991227011949);;dm_return(DM=-3.970203061142993, p_value=7.189334359228423e-05);dm_return(DM=0.830739177056545, p_value=0.4061242288467617);dm_return(DM=4.052607662990104, p_value=5.0712373477013196e-05);dm_return(DM=-4.143718216110604, p_value=3.421781807200362e-05);dm_return(DM=1.0811704627403393, p_value=0.2796255529377718);dm_return(DM=8.2577941260215, p_value=1.51315223852537e-16);dm_return(DM=-3.0829394224417435, p_value=0.0020505796431912193);dm_return(DM=1.0416578339575173, p_value=0.29757445811881217);dm_return(DM=7.382863379253549, p_value=1.5687996295550774e-13);dm_return(DM=10.151454913582436, p_value=3.4119676646214735e-24);dm_return(DM=8.80705426343646, p_value=1.3175298258113295e-18);dm_return(DM=8.623266380562143, p_value=6.65957445542606e-18);dm_return(DM=13.246175523927361, p_value=5.39029757568512e-40);dm_return(DM=11.586252014866034, p_value=5.213039399202344e-31);dm_return(DM=14.096173732472874, p_value=4.716638976450695e-45);dm_return(DM=12.310710181690263, p_value=8.721562125059263e-35);dm_return(DM=14.282025192042896, p_value=3.361314141384731e-46);dm_return(DM=13.225631412595725, p_value=7.080008374391386e-40);dm_return(DM=13.857573872952477, p_value=1.3324845228244415e-43);dm_return(DM=12.909078128730995, p_value=4.4861515425540045e-38);dm_return(DM=14.071387722447183, p_value=6.69115697148798e-45);dm_return(DM=15.194878206444775, p_value=4.759938078872218e-52);dm_return(DM=14.306908379279047, p_value=2.3539739464588405e-46);dm_return(DM=17.224980284508806, p_value=2.474076172510081e-66);dm_return(DM=16.43808097181921, p_value=1.3774840482309666e-60);dm_return(DM=16.98711166408456, p_value=1.4391873773827752e-64);dm_return(DM=21.925565608255422, p_value=3.8036488819597866e-106);dm_return(DM=11.846445875970009, p_value=2.435617423476335e-32);dm_return(DM=12.206192273404785, p_value=3.1572437310786087e-34);dm_return(DM=14.518375375861574, p_value=1.1126152046615813e-47);dm_return(DM=12.791978440214816, p_value=2.030203130607603e-37);dm_return(DM=14.443608691063753, p_value=3.2897471281933723e-47);dm_return(DM=15.584461923154386, p_value=1.1828642606165966e-54);dm_return(DM=14.331095184704791, p_value=1.6640636249309448e-46);dm_return(DM=15.282080628762525, p_value=1.2595703903827275e-52);dm_return(DM=15.73203955942029, p_value=1.1730668286229002e-55);dm_return(DM=13.517233904114812, p_value=1.4198686016286899e-41);dm_return(DM=18.49650589947091, p_value=3.556510919781962e-76);dm_return(DM=35.99188903527707, p_value=9.739032198842723e-281);dm_return(DM=13.7754005508489, p_value=4.156740249047971e-43);dm_return(DM=38.21006599514271, p_value=0.0);dm_return(DM=27.394053699172925, p_value=3.178603342543545e-164);dm_return(DM=15.55425643628799, p_value=1.893223610336918e-54);dm_return(DM=37.6245720180176, p_value=2.7263474255107144e-306);dm_return(DM=20.894147409126546, p_value=1.3179106718781533e-96);dm_return(DM=14.169894369215397, p_value=1.6610336087736693e-45);dm_return(DM=15.768568132465361, p_value=6.598885394919202e-56);dm_return(DM=17.467597000981094, p_value=3.7035570414210725e-68);dm_return(DM=14.922656025930777, p_value=2.8780739921031677e-50);dm_return(DM=16.836698355018957, p_value=1.8261907157671847e-63);dm_return(DM=22.43132489931095, p_value=5.467448216036118e-111);dm_return(DM=17.390041083946684, p_value=1.4278107230080507e-67);dm_return(DM=18.715773518324724, p_value=6.083100257704598e-78);dm_return(DM=22.881950266824006, p_value=2.1484500234627836e-115)
PCPDMC (Low);dm_return(DM=-5.00127355325935, p_value=5.710996476598569e-07);dm_return(DM=-3.970203061142993, p_value=7.189334359228423e-05);;dm_return(DM=4.132636273410478, p_value=3.591024109264426e-05);dm_return(DM=6.102538981543366, p_value=1.050208648253236e-09);dm_return(DM=-0.4894419886601875, p_value=0.6245305689302703);dm_return(DM=4.796391997855969, p_value=1.6192833626653824e-06);dm_return(DM=9.387459719849605, p_value=6.3488556989424695e-21);dm_return(DM=2.6406404693609167, p_value=0.008277047782556843);dm_return(DM=4.902985902638767, p_value=9.463198566985169e-07);dm_return(DM=8.61280512191476, p_value=7.295688672641335e-18);dm_return(DM=11.123320772901431, p_value=1.0293445622751472e-28);dm_return(DM=9.933659516774474, p_value=3.094330288662257e-23);dm_return(DM=9.792936499272257, p_value=1.2545073951848405e-22);dm_return(DM=14.084910389993851, p_value=5.5293981390069e-45);dm_return(DM=12.410262255758807, p_value=2.5355675613165586e-35);dm_return(DM=15.09328059527763, p_value=2.2191765488527976e-51);dm_return(DM=13.407975977345503, p_value=6.203562266555643e-41);dm_return(DM=15.281954725260485, p_value=1.2619972552020278e-52);dm_return(DM=14.232405475412254, p_value=6.8268638246623884e-46);dm_return(DM=14.102666887710617, p_value=4.303327340094977e-45);dm_return(DM=13.075635960339373, p_value=5.1187723781381145e-39);dm_return(DM=14.310335390987058, p_value=2.2411657045405342e-46);dm_return(DM=15.340298414161627, p_value=5.163509055368188e-53);dm_return(DM=14.459015296341988, p_value=2.632330082374169e-47);dm_return(DM=17.415319805997424, p_value=9.203089980442588e-68);dm_return(DM=16.79040700622138, p_value=3.9737028333655945e-63);dm_return(DM=17.28004679750199, p_value=9.581723984294309e-67);dm_return(DM=22.126009015607895, p_value=4.720546870898893e-108);dm_return(DM=13.12849296360627, p_value=2.5557298716899793e-39);dm_return(DM=13.652814514154896, p_value=2.2411165523588732e-42);dm_return(DM=16.200226762048, p_value=6.664839283560462e-59);dm_return(DM=13.629569169197955, p_value=3.0795658155262904e-42);dm_return(DM=15.543559687258186, p_value=2.2358672976860475e-54);dm_return(DM=16.893988650017665, p_value=6.956714245996197e-64);dm_return(DM=15.062162211437922, p_value=3.5488840854797534e-51);dm_return(DM=16.411633166926787, p_value=2.1262200997440618e-60);dm_return(DM=17.113315541578533, p_value=1.6781853007620354e-65);dm_return(DM=14.39896644311737, p_value=6.268179004560599e-47);dm_return(DM=19.810770944368553, p_value=4.510952519988171e-87);dm_return(DM=38.25001631811233, p_value=0.0);dm_return(DM=14.62058392675826, p_value=2.505257934866614e-48);dm_return(DM=39.13003483354943, p_value=0.0);dm_return(DM=27.557641856561137, p_value=3.727622507958897e-166);dm_return(DM=16.542858278947023, p_value=2.4507092580723614e-61);dm_return(DM=38.47414265500383, p_value=0.0);dm_return(DM=21.975003006847725, p_value=1.293101682280707e-106);dm_return(DM=15.197084950318544, p_value=4.602886384167976e-52);dm_return(DM=17.001757120651483, p_value=1.1224391089844416e-64);dm_return(DM=18.653139026994207, p_value=1.9540413515043057e-77);dm_return(DM=15.827866529375617, p_value=2.5861919527570374e-56);dm_return(DM=18.02955334597502, p_value=1.760280502248612e-72);dm_return(DM=24.07395795671238, p_value=1.839681757098947e-127);dm_return(DM=18.65471147743159, p_value=1.8977135572000527e-77);dm_return(DM=20.039901579960596, p_value=4.778952567911146e-89);dm_return(DM=24.680104645907495, p_value=7.918056988673098e-134)
PCPDMC (Medium);dm_return(DM=0.5943578120896222, p_value=0.5522750153452196);dm_return(DM=0.830739177056545, p_value=0.4061242288467617);dm_return(DM=4.132636273410478, p_value=3.591024109264426e-05);;dm_return(DM=4.408774689888034, p_value=1.0413380125127764e-05);dm_return(DM=-4.116889199651522, p_value=3.845233671910925e-05);dm_return(DM=0.17930341776009204, p_value=0.8577000567042182);dm_return(DM=8.109855743126872, p_value=5.160987669847619e-16);dm_return(DM=-3.29542002807003, p_value=0.0009833049772139087);dm_return(DM=0.0975258866126491, p_value=0.9223090969138352);dm_return(DM=7.125367841369473, p_value=1.0494395796564052e-12);dm_return(DM=9.706472049098409, p_value=2.9361999385392534e-22);dm_return(DM=8.347032181298433, p_value=7.144030381815156e-17);dm_return(DM=8.518487805542593, p_value=1.6525784234145534e-17);dm_return(DM=12.864614480500782, p_value=7.971255336338162e-38);dm_return(DM=11.311706143794185, p_value=1.2289051801371938e-29);dm_return(DM=13.749123809835616, p_value=5.972270079917339e-43);dm_return(DM=11.873676175643487, p_value=1.7607298074007287e-32);dm_return(DM=14.114919308243364, p_value=3.61909785260158e-45);dm_return(DM=13.054201961907628, p_value=6.778710316797934e-39);dm_return(DM=13.297448035208648, p_value=2.7244432094138607e-40);dm_return(DM=12.117582262740502, p_value=9.317926069209048e-34);dm_return(DM=13.118621692785789, p_value=2.910317590179571e-39);dm_return(DM=15.132535734343532, p_value=1.2257051576131193e-51);dm_return(DM=14.259081574937852, p_value=4.665764315471522e-46);dm_return(DM=16.685605977471916, p_value=2.2921078781471533e-62);dm_return(DM=15.965306638424371, p_value=2.910662361794914e-57);dm_return(DM=16.295847922553065, p_value=1.4106410633477937e-59);dm_return(DM=21.218241920703, p_value=1.4820985461177223e-99);dm_return(DM=11.431605012157206, p_value=3.119801965875788e-30);dm_return(DM=11.667808481954946, p_value=2.0099180998313648e-31);dm_return(DM=14.14273758146975, p_value=2.441272156751062e-45);dm_return(DM=13.685090995004545, p_value=1.4402278252015333e-42);dm_return(DM=15.012734609034311, p_value=7.46637477694577e-51);dm_return(DM=16.35588200266489, p_value=5.296971244482234e-60);dm_return(DM=15.101366257687824, p_value=1.9640096662941562e-51);dm_return(DM=16.230068919844868, p_value=4.109088792411902e-59);dm_return(DM=16.417525131365338, p_value=1.930348753953775e-60);dm_return(DM=13.493470531174545, p_value=1.9586967596890205e-41);dm_return(DM=18.559687813419764, p_value=1.1066033086150738e-76);dm_return(DM=36.08377582737694, p_value=3.794747475760359e-282);dm_return(DM=14.298633739600083, p_value=2.650192219528202e-46);dm_return(DM=38.57004592522495, p_value=0.0);dm_return(DM=27.34273697850032, p_value=1.275305440389955e-163);dm_return(DM=16.081628228688537, p_value=4.516334639690449e-58);dm_return(DM=37.68276293494374, p_value=3.1980150551712095e-307);dm_return(DM=21.686513027773767, p_value=6.781771658776102e-104);dm_return(DM=14.059750956252229, p_value=7.883357033062795e-45);dm_return(DM=15.872122465037322, p_value=1.282533928101957e-56);dm_return(DM=17.502651612420703, p_value=2.0085701088386606e-68);dm_return(DM=15.612285919800733, p_value=7.66351260263067e-55);dm_return(DM=18.142996559270575, p_value=2.272762566265669e-73);dm_return(DM=23.920481866324916, p_value=7.113550809601785e-126);dm_return(DM=18.489274567023305, p_value=4.0639361358945766e-76);dm_return(DM=20.421385294841482, p_value=2.1966394163702375e-92);dm_return(DM=24.396433364597154, p_value=7.891678935663076e-131)
PCPDMC (High);dm_return(DM=3.717283393389926, p_value=0.0002015557901809059);dm_return(DM=4.052607662990104, p_value=5.0712373477013196e-05);dm_return(DM=6.102538981543366, p_value=1.050208648253236e-09);dm_return(DM=4.408774689888034, p_value=1.0413380125127764e-05);;dm_return(DM=-6.118500419017608, p_value=9.503064667319872e-10);dm_return(DM=-3.408874147296233, p_value=0.000652735791903136);dm_return(DM=6.963020889469401, p_value=3.3639488619744586e-12);dm_return(DM=-5.648740808510158, p_value=1.6234220579210674e-08);dm_return(DM=-3.449481749411854, p_value=0.0005620417369270222);dm_return(DM=5.561358312463432, p_value=2.687972413598511e-08);dm_return(DM=6.306964551066465, p_value=2.8649672383705316e-10);dm_return(DM=4.9440665983681855, p_value=7.671146781203976e-07);dm_return(DM=5.504873495678981, p_value=3.709114581676892e-08);dm_return(DM=9.504845373729184, p_value=2.0728009006373095e-21);dm_return(DM=9.071647354215228, p_value=1.2059570193223387e-19);dm_return(DM=10.55452514899087, p_value=5.096726070069662e-26);dm_return(DM=9.238162310137929, p_value=2.5850895744721186e-20);dm_return(DM=11.011595249622466, p_value=3.5711483680825147e-28);dm_return(DM=10.068394060558369, p_value=7.954018087327607e-24);dm_return(DM=11.06534689853017, p_value=1.9658932488307524e-28);dm_return(DM=9.92658078528988, p_value=3.321608168980191e-23);dm_return(DM=10.86578147216771, p_value=1.7776504637061552e-27);dm_return(DM=14.690302143452765, p_value=9.007883450595984e-49);dm_return(DM=13.841000869648555, p_value=1.6770453166178071e-43);dm_return(DM=15.385897188913061, p_value=2.562122972900278e-53);dm_return(DM=13.878221566490476, p_value=1.0001326853100714e-43);dm_return(DM=14.451527620111182, p_value=2.9336548770520246e-47);dm_return(DM=19.34813074304801, p_value=3.74865507477319e-83);dm_return(DM=7.867336423682238, p_value=3.681639235973119e-15);dm_return(DM=7.724010697139626, p_value=1.1442992982330267e-14);dm_return(DM=10.874128674241447, p_value=1.6225185943665077e-27);dm_return(DM=10.985030618868949, p_value=4.791528334652337e-28);dm_return(DM=11.95708689743297, p_value=6.487346393622738e-33);dm_return(DM=13.942717141749633, p_value=4.0706614447121954e-44);dm_return(DM=13.398586653095716, p_value=7.037789531266293e-41);dm_return(DM=15.725520520515328, p_value=1.2997278796159221e-55);dm_return(DM=14.822687140170418, p_value=1.2745921707163154e-49);dm_return(DM=11.336646648172012, p_value=9.250741396798809e-30);dm_return(DM=16.34306626914566, p_value=6.530800711561021e-60);dm_return(DM=33.27267424132489, p_value=1.3601542065188436e-240);dm_return(DM=12.113553632643729, p_value=9.786068737604559e-34);dm_return(DM=36.212472919632596, p_value=3.976349958832545e-284);dm_return(DM=26.96920230559522, p_value=2.9135241044652363e-159);dm_return(DM=15.382749164331669, p_value=2.6893030577504943e-53);dm_return(DM=36.739740829405925, p_value=2.62040516238194e-292);dm_return(DM=20.816867091411734, p_value=6.5539049182577646e-96);dm_return(DM=11.699977370761118, p_value=1.3776292850042672e-31);dm_return(DM=14.111062689450486, p_value=3.8218951728192306e-45);dm_return(DM=15.944832716679008, p_value=4.034808848432002e-57);dm_return(DM=13.590249972596235, p_value=5.2653894830507766e-42);dm_return(DM=16.186274995456845, p_value=8.35331317617898e-59);dm_return(DM=22.15912920300251, p_value=2.277109895903794e-108);dm_return(DM=18.01925696224269, p_value=2.1183649382950822e-72);dm_return(DM=19.825059835284904, p_value=3.4022075480609536e-87);dm_return(DM=23.271280079699057, p_value=2.861906407835845e-119)
MCPDMC (Low,WAVG);dm_return(DM=-5.084776203437343, p_value=3.6914232885871534e-07);dm_return(DM=-4.143718216110604, p_value=3.421781807200362e-05);dm_return(DM=-0.4894419886601875, p_value=0.6245305689302703);dm_return(DM=-4.116889199651522, p_value=3.845233671910925e-05);dm_return(DM=-6.118500419017608, p_value=9.503064667319872e-10);;dm_return(DM=5.096634737763124, p_value=3.467706074798268e-07);dm_return(DM=9.494579573793214, p_value=2.287216848282501e-21);dm_return(DM=5.348819300596529, p_value=8.884664510349018e-08);dm_return(DM=5.180299118683749, p_value=2.2223057285287473e-07);dm_return(DM=8.725806754105541, p_value=2.7078256391500623e-18);dm_return(DM=11.202900342151617, p_value=4.2120608755382216e-29);dm_return(DM=9.956635309070661, p_value=2.4575880033546578e-23);dm_return(DM=9.828026955878961, p_value=8.8650238624628e-23);dm_return(DM=14.123793248457087, p_value=3.19222068296365e-45);dm_return(DM=12.4437420386087, p_value=1.6698894865641815e-35);dm_return(DM=15.145853357976685, p_value=1.0017828785967944e-51);dm_return(DM=13.435029814432623, p_value=4.310688902338412e-41);dm_return(DM=15.322850542968906, p_value=6.747829090418421e-53);dm_return(DM=14.246336189834967, p_value=5.596771299955862e-46);dm_return(DM=14.160506799277815, p_value=1.8976885555265602e-45);dm_return(DM=13.12593813159788, p_value=2.643155382752554e-39);dm_return(DM=14.365480131521473, p_value=1.0153011104120221e-46);dm_return(DM=15.356256835000401, p_value=4.0414107062336067e-53);dm_return(DM=14.4734975189228, p_value=2.1341985694406658e-47);dm_return(DM=17.45142281105266, p_value=4.909656059870363e-68);dm_return(DM=16.850669807920575, p_value=1.4436390758018025e-63);dm_return(DM=17.339195169821142, p_value=3.447432545347111e-67);dm_return(DM=22.189341793769355, p_value=1.1699456407481232e-108);dm_return(DM=13.052492344063403, p_value=6.932151865019569e-39);dm_return(DM=13.54276457009679, p_value=1.0043122076344367e-41);dm_return(DM=16.021595964606604, p_value=1.1833954268943113e-57);dm_return(DM=13.604013164936076, p_value=4.36483373394629e-42);dm_return(DM=15.501188277908486, p_value=4.316533468736709e-54);dm_return(DM=16.86646510000879, p_value=1.1064817349763882e-63);dm_return(DM=15.090117133385181, p_value=2.3277643679777914e-51);dm_return(DM=16.453286737242067, p_value=1.0729109651693249e-60);dm_return(DM=17.128360174571593, p_value=1.2975722103890773e-65);dm_return(DM=14.351191062835113, p_value=1.24688237019794e-46);dm_return(DM=19.633658811867978, p_value=1.4640515025244067e-85);dm_return(DM=37.92551095771534, p_value=0.0);dm_return(DM=14.589058822836316, p_value=3.9722908658240915e-48);dm_return(DM=39.101730735832355, p_value=0.0);dm_return(DM=27.562496076444653, p_value=3.265633857652291e-166);dm_return(DM=16.578373459615506, p_value=1.3616912251748907e-61);dm_return(DM=38.521003647145825, p_value=0.0);dm_return(DM=21.943486133654357, p_value=2.5731741817099353e-106);dm_return(DM=15.142456257334908, p_value=1.0547007488136442e-51);dm_return(DM=16.867812150140338, p_value=1.0816532347370597e-63);dm_return(DM=18.53452354010965, p_value=1.7625354965715672e-76);dm_return(DM=15.780687849567824, p_value=5.450631588433723e-56);dm_return(DM=17.9524117529789, p_value=7.030562484198258e-72);dm_return(DM=23.98312090397199, p_value=1.6048492443299528e-126);dm_return(DM=18.681047721795853, p_value=1.1622941063635846e-77);dm_return(DM=20.08040157158903, p_value=2.127812933127951e-89);dm_return(DM=24.686104555188884, p_value=6.836451363306573e-134)
MCPDMC (Medium,WAVG);dm_return(DM=0.8569593653213753, p_value=0.39147069632348597);dm_return(DM=1.0811704627403393, p_value=0.2796255529377718);dm_return(DM=4.796391997855969, p_value=1.6192833626653824e-06);dm_return(DM=0.17930341776009204, p_value=0.8577000567042182);dm_return(DM=-3.408874147296233, p_value=0.000652735791903136);dm_return(DM=5.096634737763124, p_value=3.467706074798268e-07);;dm_return(DM=8.898029363774071, p_value=5.835708692607824e-19);dm_return(DM=-4.122018788695376, p_value=3.760606144024811e-05);dm_return(DM=-0.34229163228106535, p_value=0.732132607128938);dm_return(DM=7.732090710506301, p_value=1.0740090828623194e-14);dm_return(DM=10.229480687765745, p_value=1.5311413100864736e-24);dm_return(DM=8.593409699901907, p_value=8.637710700563687e-18);dm_return(DM=8.532414462102533, p_value=1.465442198530564e-17);dm_return(DM=13.444496273450794, p_value=3.794491137442731e-41);dm_return(DM=11.928984465201362, p_value=9.088569177202394e-33);dm_return(DM=14.52487035747298, p_value=1.012353458300649e-47);dm_return(DM=12.059584864347498, p_value=1.884221374150479e-33);dm_return(DM=14.751150361518324, p_value=3.674612796374082e-49);dm_return(DM=13.888957539230319, p_value=8.61382693054645e-44);dm_return(DM=13.313742889982976, p_value=2.1921193244885036e-40);dm_return(DM=12.072118942553372, p_value=1.618689011949631e-33);dm_return(DM=13.059101242536554, p_value=6.357443779740343e-39);dm_return(DM=15.14909651791387, p_value=9.537321103142888e-52);dm_return(DM=14.269287080812415, p_value=4.032773691638652e-46);dm_return(DM=16.639218437972566, p_value=4.9612743746059115e-62);dm_return(DM=16.043661249382822, p_value=8.30890140968022e-58);dm_return(DM=16.30428247645423, p_value=1.2295437165281106e-59);dm_return(DM=21.139512459827408, p_value=7.786624635558645e-99);dm_return(DM=11.350084677827937, p_value=7.936135666542913e-30);dm_return(DM=11.63245302649314, p_value=3.0406261267274053e-31);dm_return(DM=14.207744065209898, p_value=9.699844624157647e-46);dm_return(DM=12.66023967468319, p_value=1.0918242902695472e-36);dm_return(DM=14.438205398953379, p_value=3.5570930562102353e-47);dm_return(DM=15.86220645530508, p_value=1.5010274753062334e-56);dm_return(DM=13.905678789513516, p_value=6.824585779829186e-44);dm_return(DM=15.225642375403382, p_value=2.9804292509438776e-52);dm_return(DM=15.913621235768327, p_value=6.632738886955133e-57);dm_return(DM=13.420729029144333, p_value=5.225829054024125e-41);dm_return(DM=18.530530875319513, p_value=1.8975200364164505e-76);dm_return(DM=35.82785521435045, p_value=3.1323362446184905e-278);dm_return(DM=13.785103978673508, p_value=3.6354547171556396e-43);dm_return(DM=38.19477367665322, p_value=0.0);dm_return(DM=27.334546780721652, p_value=1.5915196790646e-163);dm_return(DM=15.455348543787567, p_value=8.776981212112229e-54);dm_return(DM=37.37362019186595, p_value=2.713757207448899e-302);dm_return(DM=21.742532477571316, p_value=2.022936879174704e-104);dm_return(DM=14.0277970694226, p_value=1.2358097462016897e-44);dm_return(DM=15.843592854581491, p_value=2.0161369549766753e-56);dm_return(DM=17.38050949123983, p_value=1.684686710373811e-67);dm_return(DM=14.990356095375422, p_value=1.0447531069081818e-50);dm_return(DM=17.141649255592743, p_value=1.0336607871334812e-65);dm_return(DM=23.256896516961927, p_value=3.9899828459670104e-119);dm_return(DM=17.570796531281452, p_value=6.092757950400385e-69);dm_return(DM=19.1328378728337, p_value=2.327353019600592e-81);dm_return(DM=23.835975231430158, p_value=5.270685970760172e-125)
